video_id,video_title,channel_name,full_transcript,video_description
O6wTcrhkw4o,Rescuing Child Slaves in Africa,Beast Philanthropy,"In Ghana, sadly, countless children are In Ghana, sadly, countless children are abandoned and fall victim to being abandoned and fall victim to being abandoned and fall victim to being captured as slaves to the fishing captured as slaves to the fishing captured as slaves to the fishing industry. And after speaking with industry. And after speaking with countless locals, I came to the countless locals, I came to the countless locals, I came to the heartbreaking realization that being heartbreaking realization that being heartbreaking realization that being rescued is only the beginning of their rescued is only the beginning of their rescued is only the beginning of their struggle. Even for those fortunate struggle. Even for those fortunate enough to escape, years of relentless enough to escape, years of relentless enough to escape, years of relentless abuse and exploitation have left them in abuse and exploitation have left them in abuse and exploitation have left them in desperate need of medical care. Yet, desperate need of medical care. Yet, there are no adequate facilities to there are no adequate facilities to there are.","Ghana Make A Difference is a remarkable organization that provides shelter, education and medical care to children who have been enslaved, endangered or abandoned. GMAD is a beacon of light and inspiration to us all as they remain dedicated to helping vulnerable children in their mission of providing every abandoned child with a safe space and supportive community. If you want to help make a difference by supporting GMAD with their initiatives please visit their donation page: https://www.ghanamakeadifference.org/donate.html Thank you to OxBlue (https://www.oxblue.com/) for their generous donation by supplying us with the time-lapse cameras for this project. A huge thank you to our audience, for watching our videos because by doing so you allow us to continue helping organizations and initiatives like this who are doing such amazing philanthropic work all over the world! Filmed and Edited by: Dan Mace (https://www.youtube.com/@DanMace) Follow us to help us help more: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation."
6DJBExeh94w,I Fought One of America’s Biggest Problems,Beast Philanthropy,"around a 100,000 Americans passed away around a 100,000 Americans passed away in 2023 from a disease that almost no in 2023 from a disease that almost no in 2023 from a disease that almost no one understands America is facing a one understands America is facing a one understands America is facing a record high number of addiction places record high number of addiction places record high number of addiction places over 48.7 million Americans are living over 48.7 million Americans are living over 48.7 million Americans are living with substance use disorder and millions with substance use disorder and millions with substance use disorder and millions more directly and indirectly more directly and indirectly more directly and indirectly impacted I'm an addict if I have a drink impacted I'm an addict if I have a drink impacted I'm an addict if I have a drink I can't stop everyone's safety is at I can't stop everyone's safety is at I can't stop everyone's safety is at stake it is an uncontrolled stake it is an uncontrolled stake it is an uncontrolled fire someone close to home offered to fire someone close to home offered to fire someone close.","Want to show The Phoenix team your support? Donate NOW at https://riserecoverthrive.funraise.org/ - alongside our partner Stand Together, we’ll be matching each donation 2:1. Not able to donate? Comment ‘Together We Rise’ below and we’ll donate $1 on your behalf! The Phoenix is fueling a movement that builds on the power of community and belonging to change how society approaches addiction and recovery. Through hundreds of weekly sober events and activities, they’re creating spaces for anyone impacted by substance use to connect, build friendships, find support, and have fun. Just like we do, Stand Together believes that by BELIEVING IN PEOPLE, empowering them with support, and encouraging them to BELIEVE IN THEMSELVES that we can solve so many of the issues that challenge us as individuals, communities, and societies. We want to thank them for their extremely generous contribution to this program. Stand Together is a philanthropic community. They help America’s boldest changemakers tackle the root causes of our country’s biggest problems. For more stories, ideas, and advice on how to help them make a bigger impact, visit https://standtogether.org/ Filmed and Edited by: Dan Mace (https://www.youtube.com/@DanMace) Follow us to help us help more: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation. #sponsored"
HhBhWdoXSdg,Empowering Girls in India,Beast Philanthropy,despite its Rich culture and incredible despite its Rich culture and incredible beauty over 40 million children in India beauty over 40 million children in India live like this and to make things worse millions this and to make things worse millions of them grew up without having any kind of them grew up without having any kind of them grew up without having any kind of family every country struggles with family every country struggles with family every country struggles with poverty but unfortunately India has the poverty but unfortunately India has the poverty but unfortunately India has the highest population of Orphans in the highest population of Orphans in the highest population of Orphans in the world meaning that many of them face a world meaning that many of them face a world meaning that many of them face a abuse malnutrition early marriage and abuse malnutrition early marriage and abuse malnutrition early marriage and unplanned pregnancy and because of all the pregnancy and because of all the pregnancy and because of all the obstacles that these children face obstacles that these children face obstacles that these children face completing their education is completing their education is.,"Auction Link: https://beastphilanthropy.betterworld.org/auctions/jacqueline-fernandez-dress When Beast Philanthropy first began accepting donations, we got more donations from India than any other country. This was foreshadowing for this trip. The people of India are kind and generous and we were humbled by their kindness and hospitality. Dr. Kiran Modi and Deepak have given so much to help so many. They are perfect examples of what we can all accomplish when we choose to give from the heart. Deepak, one of the most giving people we have ever met, has written a book, with all sale proceeds going to the NGO Udayan Care, or you can donate directly to support these incredible people at http://www.udayancareusa.org/ For International readers Amazon.com https://www.amazon.com/dp/B0B5HQF4CR Amazon uk https://www.amazon.co.uk/dp/B0B5HQF4CR For Indian readers Amazon: https://amzn.to/3PvcnBb Flipkart: https://bit.ly/3o5wQB2 Massive shoutout to the HUGE star Jacqueline Fernandez for her participation and support. It was an honor and a pleasure to work with her. Please go show some love to her YOLO Foundation. https://www.instagram.com/jf.yolofoundation?igsh=OHlkNHozeGhpOWlh It was our first time in India, and you don’t want to miss the madness behind the scenes. Nothing says India like Bollywood, and we even acted out some of Shah Rukh Khan's iconic lines—the King of Bollywood himself! Catch all the exclusive fun on Aaj Tak—India’s number-one Hindi news channel. https://youtube.com/@aajtak?si=MBrE2kxhMQD_XljG We had an absolute blast in India with the amazing team at India Today Gaming! We played some football, Darren and Dan tried their hand at Bollywood dialogues, and we even had a friendly 1v1. Check out all the fun on their YouTube and Instagram channels. Don't miss this epic collaboration! https://youtube.com/@indiatodaygaming?si=QgL0MlUjYYTaxsDy Wanna see what happens when the cameras stop rolling? Head to India Today, India’s number-one English news channel, for some exclusive behind-the-scenes action. You’ll get a glimpse of how we create these amazing videos, and you might even catch Darren in a never-before-seen Indian outfit dancing to Indian tunes—you don’t want to miss it! https://youtube.com/@indiatoday?si=xVTB0pxgG0dUAxdy Don't forget to follow Jacqueline Fernandez's YouTube channel for her amazing content that focuses on music, fitness, beauty, positivity, and all the inner workings of Bollywood! Check it out here: https://www.youtube.com/channel/UCB2IrnvMrqlz0ngNtmtBfKg Filmed and Edited by: Dan Mace ( https://www.youtube.com/@DanMace) Follow us to help us help more: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation. #sponsored"
ho6Z62S2q9A,We Rebuilt a Village,Beast Philanthropy,a year ago we visited a rural Village in a year ago we visited a rural Village in Zambia where there was no electricity Zambia where there was no electricity Zambia where there was no electricity limited water high crime rates and limited water high crime rates and limited water high crime rates and countless other issues making life a countless other issues making life a countless other issues making life a constant struggle for these kids and constant struggle for these kids and constant struggle for these kids and staff but despite the seemingly hopeless staff but despite the seemingly hopeless staff but despite the seemingly hopeless situation there was someone doing situation there was someone doing situation there was someone doing everything she could to help these everything she could to help these everything she could to help these children meet Dora 5 years ago she moved children meet Dora 5 years ago she moved children meet Dora 5 years ago she moved to mapapa along with four adopted to mapapa along with four adopted to mapapa along with four adopted children and started making Tik Tok children and started making Tik Tok children and started making Tik.,"Lectric stepped up for these kids again. This company has proven their commitment to building a brighter future time and time again. Please show them how much you appreciate their incredible support (https://lectricebikes.com). #sponsored Dora is an exceptional person who has sacrificed so much to give these kids a safe and stable environment. She never rests and is already building 3 more schools. Please follow her on TikTok and Instagram and give her the support and encouragement she deserves. https://www.tiktok.com/@doramoononyambe https://www.instagram.com/doramoononyambe Contribute directly to Dora here: https://www.gofundme.com/f/feeding-the-children-of-mapapa or you can click the Donate button, or donate through our website. 100% of donations will go to Dora and the kids. https://www.beastphilanthropy.org/campaign/we-rebuilt-a-village When everyone said Beauty’s leg had to be amputated, CURE International (https://cure.org/) said “Hold my ginger beer” and performed a miracle. We could not be more grateful for the exceptional lengths they went to to save her. They do so much to help impoverished children and families around the world and they are one of our favorite partners. Please show them some love. This is our 5th project with GivePower (​​https://givepower.org/) and we have many more already underway. We seriously love these people. GivePower delivers solar powered solutions to developing regions across the planet. Filmed and Edited by: Dan Mace ( https://www.youtube.com/@DanMace) Follow us to help us help more: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation. #sponsored"
6x_b11Kyrco,We Adopted an Orphanage,Beast Philanthropy,"6 months ago this orphanage in South 6 months ago this orphanage in South Africa looked like Africa looked like Africa looked like this and despite having saved more than this and despite having saved more than this and despite having saved more than 5,000 children's lives over time he was 5,000 children's lives over time he was 5,000 children's lives over time he was about to get shut down when hearing about to get shut down when hearing about to get shut down when hearing about this we made it our mission to about this we made it our mission to about this we made it our mission to ensure this doesn't happen by rebuilding ensure this doesn't happen by rebuilding ensure this doesn't happen by rebuilding 12 new homes with an ongoing supply of 12 new homes with an ongoing supply of 12 new homes with an ongoing supply of fresh food as well as a brand new fresh food as well as a brand new fresh food as well as a brand new playground this is Mama Rosie who playground this is Mama Rosie who playground this is Mama Rosie who started the Puma lelay orphanage 30.","Yet another video sponsored by Lectric eBikes (https://lectricebikes.com). These people are beyond amazing and are dedicated to giving back. Please go show them some love and appreciation for all they enable us to do. #ad And a massive thank you to Checkers Sixty60 (https://www.sixty60.co.za) and RCL Foods (https://rclfoods.com) who have both stepped up for Mama Rosie and the kids by supplying enough food to feed them for at least a year. But Mama Rosie and the kids need all the help they can get. Please show them the love and appreciation they deserve by donating whatever you can. You can click the Donate button, visit our website (https://www.beastphilanthropy.org/campaign/rebuilding-baphumelele ), or give directly to the home (https://baphumelele.org.za/). You can also help support Baphumelele by purchasing the merch that the kids themselves designed. All profit from this merch is donated to the orphanage. https://shopbeastphilanthropy.com/collection/tees/ Many of you have commented on the music in the videos. Did you know that ​⁠​⁠@DanMace scores every note in every video with his amazing crew? Now you can enjoy this music on Spotify and, just like the channel, every penny we earn will be put back into the projects we do. (https://open.spotify.com/artist/400iD3n8DqB8wGqxDv6pSB) Filmed and Edited by: Dan Mace (​⁠​⁠@DanMace ) Follow us so we can help more people together: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/campaign/rebuilding-baphumelele Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/profile.php?id=100084586484118 Spotify: https://open.spotify.com/artist/400iD3n8DqB8wGqxDv6pSB For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation. #sponsored"
CvPtDd3B3PE,We Saved 100 Children's Hearts in Africa,Beast Philanthropy,I don't think we've ever done a more I don't think we've ever done a more difficult and heartbreaking difficult and heartbreaking difficult and heartbreaking project for the first time ever it truly project for the first time ever it truly project for the first time ever it truly was a matter of life and death this is Dr shun founder of death this is Dr shun founder of hospitals for Humanity and the saving hospitals for Humanity and the saving hospitals for Humanity and the saving little hearts program they are on a little hearts program they are on a little hearts program they are on a mission to provide life-saving surgeries mission to provide life-saving surgeries mission to provide life-saving surgeries to children in Nigeria who suffer from to children in Nigeria who suffer from to children in Nigeria who suffer from heart disease the current sole purpose heart disease the current sole purpose heart disease the current sole purpose of hospitals for Humanity is to treat as of hospitals for Humanity is to treat as of hospitals for Humanity is to treat as many children with congenital heart many children with congenital heart many children.,"Light AI is on a mission to deliver relevant solutions for the global healthcare community by leveraging assistive artificial intelligence. Check out their incredible initiative at light.ai to learn more about their efforts. Light AI is a public company that currently trades on the Canadian CBOE/NEO exchange under $ALGO.NE and trades in the US under $OHCFF. Together we are taking a step toward reducing the impact of heart disease! With your support, we will partner with Light AI to provide healthcare professionals in underserved areas with the tools they need to quickly diagnose Strep A and combat heart disease. Please visit https://www.beastphilanthropy.org/campaign/we-saved-100-childrens-lives-in-africa to learn more. This incredible program is possible thanks to so many incredible partners. As we’ve said before, Beast Philanthropy is ALL OF US. Thanks to the following amazing people: Thank you to the team at Hospitals for Humanity, especially Dr. Segun, and all of the families who so bravely allow us to tell their story. Your courage and your bravery are praiseworthy! To learn more about Hospitals for Humanity and donate directly to support their work, please visit: https://hospitalsforhumanity.org/donate/ We also want to thank Outside The Box Capital for facilitating this partnership between us and Light AI. To learn more go to And thanks to you, our viewers. None of this is possible without you! Filmed and Edited by: Dan Mace (https://www.youtube.com/@DanMace) Follow us to help us help more: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation. #sponsored"
GiqdbZLq0oM,We Rescued Kids Living in a Garbage Dump,Beast Philanthropy,for 2 million people in India this is for 2 million people in India this is their home this is one of many dump sites home this is one of many dump sites throughout the country where people have throughout the country where people have throughout the country where people have to scour through literal mountains of to scour through literal mountains of to scour through literal mountains of trash which often contains sharp objects trash which often contains sharp objects trash which often contains sharp objects toxic waste and causes many diseases toxic waste and causes many diseases toxic waste and causes many diseases that are often fatal only to make $3 a that are often fatal only to make $3 a that are often fatal only to make $3 a day and because it is the country with day and because it is the country with day and because it is the country with the highest global population India the highest global population India the highest global population India generates 1.3 billion pounds of trash generates 1.3 billion pounds of trash generates 1.3 billion pounds of trash every year and the increasing wealth every year and the increasing.,"When young children have to dig through toxic landfills in hopes of earning enough money to buy a simple bowl of rice, we have failed as humans. This is not an Indian problem. It is a global problem that should bother each and every one of us. Poverty has no boundaries. Please don’t look the other way anymore. Together we can fix it by supporting incredible groups like Tiljala Shed (https://tished.org/). Sometimes we see a problem that seems so insurmountable that we ignore it thinking “What difference will $5 make?” It makes a huge difference because thousands of small donations add up very fast, but thousands of people deciding their contribution is too small to make a difference leads nowhere. Please give what you can. Apathy is our enemy. Started by Alamgir, and now run by his son Shafkat, Tiljala Shed is an outstanding organization. They are committed to helping as many children as possible by giving them dignity and opportunity. Please consider donating to help. https://tished.org/donate/ International Donors: https://goto.gg/32034 Indian Donors: https://give.do/fundraisers/tiljala-shed-education While we were in India we were told many of the children in the program came from households where there was not enough food to eat every day. Massive shoutout to The Smith Brothers Family Foundation for their incredibly generous donation to feed all these families for the next two years. And finally, in a shocking, yet unsurprising (I know that doesn’t make sense, but its how I feel) act of generosity, Tony and Sage Robbins, after watching a prescreening of the video, instantly offered to support this entire program, including the at-home meals for these kids and their families for an entire additional year. https://www.thetonyrobbinsfoundation.org/ https://www.instagram.com/sagerobbins/ Poverty is a global problem. What is depicted in our videos is not intended to represent the entire country, or its people. Every country has its poor. We wish to draw attention to the issues that challenge humanity across the planet, build empathy, offer relief where we can, and inspire others to do the same. We can only change the world together. Filmed and Edited by: Dan Mace ( https://www.youtube.com/@DanMace) Follow us to help us help more: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation. #sponsored"
OCKQBMlXeGc,We Built A School,Beast Philanthropy,"this school in Cameroon has extremely this school in Cameroon has extremely dilapidated and hazardous classrooms no dilapidated and hazardous classrooms no dilapidated and hazardous classrooms no running water or electricity and only a running water or electricity and only a running water or electricity and only a single toilet shared by over 3,000 kids single toilet shared by over 3,000 kids single toilet shared by over 3,000 kids in staff daily and what's even worse is in staff daily and what's even worse is in staff daily and what's even worse is despite the school's mission to empower despite the school's mission to empower despite the school's mission to empower young girls and provide them a safe young girls and provide them a safe young girls and provide them a safe haven from domestic abuse and other haven from domestic abuse and other haven from domestic abuse and other challenging conditions many children challenging conditions many children challenging conditions many children cannot enroll because of overcrowding cannot enroll because of overcrowding cannot enroll because of overcrowding and deteriorating conditions so in this and deteriorating conditions so in this and deteriorating conditions so in this video we're going to rebuild.","Lectric eBikes (https://lectricebikes.com/) stepped up to sponsor ANOTHER video. This incredible company has proven their firm commitment to helping us build a better world by sponsoring 8 videos this year. Not only do they make affordable, fun, eco-friendly bikes, they make a difference by supporting our work across the planet. Please go visit their website and show them some appreciation for all their continued, astounding generosity. #ad Francis and his team at CDVTA (https://www.cdvta.org/) are some of the most dedicated people we have ever met. They have sacrificed so much to help build a stronger and more prosperous society in Cameroon. The Cameroonian people are kind, loving, and welcoming, and having such a reliable and dedicated partner in Cameroon makes our work so much easier. Please click the ""Donate"" buttonor visit https://go.rallyup.com/designingenduringchangeincameroon/Campaign/Details to help support Francis and his team across Cameroon. Also, massive shoutout to Banko Design (https://bankodesign.com/) for supporting this project by building even more classrooms at this school. Thank you to all the students, teachers, staff, PTA, community leaders, principal and village elders at Government Bilingual High School (GBHS) Manengwassa-Loum in Moungo Division of the Littoral Region of Cameroon for the exceptionally warm welcoming and for the immense honor you bestowed on Darren. Follow us so we can help more people together: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/profile.php?id=100084586484118 Spotify: https://open.spotify.com/artist/400iD3n8DqB8wGqxDv6pSB Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation. #sponsored Filmed and Edited by: Dan Mace (@DanMace )"
2n5h3VFdxSE,Saving The World From Your Sofa,Beast Philanthropy,what if I told you could help tens what if I told you could help tens of thousands of people live a better of thousands of people live a better of thousands of people live a better life without ever leaving your couch by life without ever leaving your couch by life without ever leaving your couch by just clicking on a thumbnail and just clicking on a thumbnail and just clicking on a thumbnail and watching a video you can help provide watching a video you can help provide watching a video you can help provide electricity to Villages rebuild entire electricity to Villages rebuild entire electricity to Villages rebuild entire towns and save rhinos from Extinction towns and save rhinos from Extinction towns and save rhinos from Extinction it's because of every one of you it's because of every one of you it's because of every one of you supporting the Beast philanthropy supporting the Beast philanthropy supporting the Beast philanthropy channel that we were able to accomplish channel that we were able to accomplish channel that we were able to accomplish all of this in all of this in all of this in 2024 we kicked off.,"Dora Moono Nyambe chose the difficult path so that she could protect and love the most vulnerable children. Dora passed away on Christmas morning. My favorite quote is ""What you share with the world is what it keeps of you."" Dora your legacy will live in the hearts of so many who learned how it felt to be loved and valued because of you, who learned the meaning of courage, conviction, compassion, and dedication because they had such a powerful example in you. You were taken too soon but your legacy will persist in so many lives that were so deeply affected by you.💔 Dora has an incredible team that can continue to provide a loving and stable environment for these children, but most of the revenue to run the village was earned on Dora's TikTok stream. They are going to need our help. Please give whatever you can to help us preserve Dora’s legacy. You can click the Donation button or visit https://www.beastphilanthropy.org/campaign/we-rebuilt-a-village 100% will be forwarded to Footprints of Hope This has been such an exceptional year. Together we have been able to make a profound difference in the lives of so many around the world. We have learned together about some of the most difficult challenges humanity faces, viable solutions to those problems, and the exceptional people fighting to build a brighter future. We couldn’t do any of this without YOU, and we are so incredibly grateful for your love and support. Follow us to help us help more: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate/ Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation."
oMyCKvynGZ4,We Paid for a Free Children's Hospital,Beast Philanthropy,it was when we saw this video it was when we saw this video online just like you are now we were online just like you are now we were online just like you are now we were completely blown away by this completely blown away by this completely blown away by this transformation so I sent Darren and Dan transformation so I sent Darren and Dan transformation so I sent Darren and Dan to davo city in the Philippines to visit to davo city in the Philippines to visit to davo city in the Philippines to visit the Cure Hospital which provided this the Cure Hospital which provided this the Cure Hospital which provided this life-changing surgery and to find out how we can help surgery and to find out how we can help surgery and to find out how we can help provide hundreds of more to children provide hundreds of more to children provide hundreds of more to children born with similar born with similar born with similar conditions when they arrived Darren met conditions when they arrived Darren met conditions when they arrived Darren met with brother and sister RJ and sweetie with brother and.,"This video is sponsored by My Talking Tom 2 (Outfit7 Limited), who helped fund this incredible charitable project. #ad Download #MyTalkingTom2 now for FREE, and claim the limited-edition MrBeast outfit📱👉https://o7n.co/mtt2-x-mrbeast CURE International Children's Hospitals provides free life changing surgeries to disadvantaged children around the world. Let's show them some appreciation for all they do. Click the Donate button or visit them to donate directly. https://mrbeast.cure.org/ Filmed and Edited by: Dan Mace (@DanMace ) Follow us so we can help more people together: Instagram: https://www.instagram.com/beastphilanthropy/ Website: https://www.beastphilanthropy.org/donate Tiktok: https://www.tiktok.com/@beastphilanthropy Twitter: https://twitter.com/BeastPhilanthr Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 For any questions or inquiries regarding this video please reach out to chucky@mrbeastbusiness.com Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation. #sponsored"
