video_id,transcript
2V3s_d3MCE4,"Error: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=2V3s_d3MCE4! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
ARzb2K2FFwk,"Error: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=ARzb2K2FFwk! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
ZRnRD5LE_kg,"Error: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=ZRnRD5LE_kg! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
JfMbboNYWX8,"[Music]
Everyone's crazy about football,
but boxing,
that's a neverending game of tackles.
One wrong move,
game over.
Tennis, a marathon with the racket. When
it goes wrong, you become your own worst
enemy.
Now imagine every move timed in a
millisecond and behind you a shadow
ready to steal victory.
I came for football. I stay for more.
[Applause]"
c-wLj9OiMpw,Transcript not available
CZ1-c1SmiQw,"Error: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=CZ1-c1SmiQw! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
yxQPyHMkl2E,"[Applause]
In every era, a rare few rise above the
rest.
Now, a new generation emerges. Each
bearing a key and everything to prove.
Success demands perseverance,
challenging those who dare to try. They
step forward to answer the legend's
call. Rise above at the esports World
Cup."
x_IRSJ9EOxA,"of course since since day one I have a a
compromise that to make change not only
in al-Nasad but in in a country too. So
this is my goal. Of course, my goal is
always to win something important for
Al-Mnasar. And of course, I still
believe on that. This is why I renewed
the two years more because I believe
that I will be champion in Saudi Arabia.
As you mentioned, I had some offers to
play World Cup, but I think it didn't
make sense because um I prefer to have a
a good rest, a good preparation because
this season will be very long because
this is the season of the World Cup in
the end of the season. So, I want to be
ready not only for Alnasar but also for
the national team. So this is why I
decide
to play the last game for the Nationals
League and to don't listen nothing and
of course to be in this club which is I
I love it. Amazing.
Of course, we're still improving, but I
believe that in this moment, we are in
top five already, but I still believe
that we continue to improve and we have
time and we show the last two years
enough that the league is it's going up
all the time. So, I'm happy because I
know the league is very competitive.
Only the people who never play in Saudi,
they don't understand nothing about
football and say this league is not in a
top five. I believe 100% in my words and
the people who play in this league, they
know what I'm talking about. So this is
why I want to stay because I believe in
the project uh not the next two years
but until
2034 which is is the goal and uh will be
the World Cup in Saudi Arabia which is I
believe two that will be the most
beautiful one ever. So I'm happy two
years more. I want to fight with the the
best teams in Saudi to win the league, I
believe. And let's see in the end of the
day who is better.
This feeling amazing. This is why uh I
stay I will stay two years more as a
football player but also for a life
because my contribution for this country
is not only for football. It's it's for
everything. So I want to be part of the
the grow of the country forever. And of
course the fans is the role of the fans
is uh very important on my decision
because I know the people love me. I
love Saudi people and I want to continue
to give in joy to these people because
they always support me. They always on
my back and as I say before what I want
is to win something important for this
club. Not only the Kings club, Kings
club that we win in the beginning of two
years ago, but I believe that we have
potential to win more important things.
Stay two more years. Of course, we are
not happy for what's happened the last
season. It's normal. If we are the
competitive and if we are a winner, we
know that what we did last season is not
enough. But is already passed. We have
to focus now in the present. The present
is good. We change. We're going to
change so many things. The projects I
believe in the project. I believe in
al-Nasad. I believe in the fans. The
past is passed. Let's be positive. Let's
thinking positive. Let's think that this
season will be our best season ever. And
um the past is passed. We not recover
what's happened before. Now we have to
believe in the present. The present I
believe that this season we're going to
do an amazing season and we're gonna win
something very very very important. And
of course the supporters should be in
our sides because with them we're going
to be more stronger. So let's be
positive and believe.
Well my my family always support me. It
doesn't matter which decision I take. uh
not only here in Saudi Arabia but all
the decisions that I took it before with
Juventus with Manchester United, Real
Madrid. So they are the most important
thing. It's if your family supports you
and my family always support me in my
decisions. So for me it's it's the most
important. If they are happy I'm happy
and they are happy in Saudi. We do it a
good life. They the Saudi people treat
us very very very good. This is why we
we want to live there and continue to do
what our life there. And of course in in
a sport way I believe as I told you
before I believe that we're going to win
something important this season.
I think we don't need to convince
nobody. The life is like that.
Come and see with your own eyes. I think
it's it's what you have to say to the
people.
For example, to give you example, look,
I'm now in the Red Sea. I don't coming
because because nothing I coming because
I like it and my family like it. I feel
peace here. Not only the most all the
days, best parts in Saudi, but also
the Jeda. I love Saudi. I recommend to
people to coming there.
They changed Saudi I know and this story
the history of about Saudi they change a
lot
so it's good I recommend to cominging
and to visit this amazing country you
have amazing culture that which is I I
like it and um come and look with your
own eyes I think it's the best advice
that you can give to the people
100% as you say before I I help that to
coming here two years ago
and people look now Saudi with a
different eyes which is I feel happy
because I help on that but of course we
have to mention uh the our crown prince
that he do with amazing work amazing job
and is the the the the most important
person in the process of changes of the
country. So we have to appreciate him
and his his people around him that you
do amazing work. I'm so happy. You
should be proud of your country because
you have you have amazing country and um
the future will be bright because the
things going so fast you not only speak
you work. So this is the most important
thing.
And in general, I like I like to live
here. I like I feel safe, me and my
family. So the things change in a fast
way. So I like to be here because I
follow the process. I follow the changes
and I I like it. I like it to be part of
the changes of the country. But we have
a lot of potential to still grow and
grow and grow not only uh in a football
but in other areas too in a business
area entertainment
uh so I'm feel so proud.
Thank you. Why not? We never know the
future. I never thought in two years
enough that I will play in Saudi Arabia.
Never thinking about that. But life is a
box of surprises. So we never know
what's going to happen. But
I make in my life which is is to live
the present. I don't take decisions by
the future. So I live the present. The
present is good. The present is bright.
I'm very positive person. So I believe
the next years
the project continue to grow. Cristiano
will win something important in Saudi
Arabia. believe on that. And of course,
what I wanted to give the Saudi people
and especially the Al-Nasar fans a very
important trophy this year.
Why not depend of manufacturers, the
opportunities, but I'm not a regular
person to be honest. I'm thinking
different than than players. I don't say
I'm better than them, but I'm thinking
different. uh to be a coach. I can tell
you right now I'm never going to be a
coach. Never. Never. This is a strong
word but it's not in my plans in 5 years
10 20 but as you know the life is always
a box of surprises but
um projects and be part of uh the grow
of the country to be on a sides of the
country for sure I will be next to the
country because I'm not coming only for
play football I play for change of a
country cultural country so I'm a part
of that process
So, as I say so many many times, I
belong to Saudi Arabia. I'm Portuguese,
but I'm belong to Saudi Arabia.
Now, what I want to say it's continue to
support Cristiano, continue to support
Salasar, continue to support Portugal
national team. Believe
uh because this year I believe that
we're going to do it very very important
season. So the past is the past. Let's
focus on the present. The present will
be good. Thank you so much, Christian.
Thank you guys. Thank you guys."
Drj1-WLCm1o,"Error: 
Could not retrieve a transcript for the video https://www.youtube.com/watch?v=Drj1-WLCm1o! This is most likely caused by:

Subtitles are disabled for this video

If you are sure that the described cause is not responsible for this error and that a transcript should be retrievable, please create an issue at https://github.com/jdepoix/youtube-transcript-api/issues. Please add which version of youtube_transcript_api you are using and provide the information needed to replicate the error. Also make sure that there are no open issues which already describe your problem!"
183L0H7bRZU,Transcript not available
