id,title,description,publishedAt,tags,categoryId,duration,viewCount,likeCount,commentCount,privacyStatus,channel_id,channel_title,channel_description,channel_thumbnail,channel_subscriberCount,channel_videoCount
wL22URoMZjo,Sleeper Agents in Large Language Models - Computerphile,"It's an older paper, but it checks out. Rob Miles discusses the problem of 'Sleeper Agents' - where LLMs could have hidden traits we don't know about until it's too late.

Computerphile is supported by Jane Street. Learn more about them (and exciting career opportunities) at: https://jane-st.co/computerphile

This video was filmed and edited by Sean Riley.

Computerphile is a sister project to Brady Haran's Numberphile. More at https://www.bradyharanblog.com",2025-09-12 12:05:53+00:00,"['computers', 'computerphile', 'computer', 'science']",27,PT13M38S,155162,7029,740,public,UC9-y-6csu5WGm29I7JiwpnA,Computerphile,"Videos about computers & computer stuff. Supported by Jane Street - https://jane-st.co/computerphile
Sister channel of Numberphile. ",https://yt3.ggpht.com/ebHMyRfch3u2UTZN1WQJDp9J5U7o38T_WnGkd2QhAIQwBgvozdaOCOnfDMtngtoHWutJvLl4i0c=s88-c-k-c0x00ffffff-no-rj,2570000,867
fzlflyw7X2I,The Next Big SHA? SHA3 Sponge Function Explained - Computerphile,"Learn more about the Jane Street internship at https://jane-st.co/internship-computerphile-25 

If a bug is found in SHA2, SHA3 is already waiting in the wings! Mike Pound takes us through how it works. Dr Mike Pound is based at the University of Nottingham. 

Computerphile is supported by Jane Street. Learn more about them (and exciting career opportunities) at: https://jane-st.co/computerphile

This video was filmed and edited by Sean Riley.

Computerphile is a sister project to Brady Haran's Numberphile. More at https://www.bradyharanblog.com",2025-08-20 13:31:31+00:00,"['computers', 'computerphile', 'computer', 'science']",27,PT27M37S,128880,5559,392,public,UC9-y-6csu5WGm29I7JiwpnA,Computerphile,"Videos about computers & computer stuff. Supported by Jane Street - https://jane-st.co/computerphile
Sister channel of Numberphile. ",https://yt3.ggpht.com/ebHMyRfch3u2UTZN1WQJDp9J5U7o38T_WnGkd2QhAIQwBgvozdaOCOnfDMtngtoHWutJvLl4i0c=s88-c-k-c0x00ffffff-no-rj,2570000,867
IuX8QMgy4qE,Gödel's Incompleteness Theorem - Computerphile,"Gödel's Incompleteness Theorem explained with Pen, Paper & Lean (the proof assistant) Professor Thorsten Altenkirch is based at the University of Nottingham. 

Computerphile is supported by Jane Street. Learn more about them (and exciting career opportunities) at: https://jane-st.co/computerphile

This video was filmed and edited by Sean Riley.

Computerphile is a sister project to Brady Haran's Numberphile. More at https://www.bradyharanblog.com",2025-08-05 15:59:01+00:00,"['computers', 'computerphile', 'computer', 'science']",27,PT18M55S,85235,2801,428,public,UC9-y-6csu5WGm29I7JiwpnA,Computerphile,"Videos about computers & computer stuff. Supported by Jane Street - https://jane-st.co/computerphile
Sister channel of Numberphile. ",https://yt3.ggpht.com/ebHMyRfch3u2UTZN1WQJDp9J5U7o38T_WnGkd2QhAIQwBgvozdaOCOnfDMtngtoHWutJvLl4i0c=s88-c-k-c0x00ffffff-no-rj,2570000,867
g2hiVp6oPZc,Writing a Text Editor - Computerphile,"Writing a text editor can't be that hard can it? Surely just a case of shifting around a bunch of ASCII characters? Dr Steve Bagley is based at the University of Nottingham 

Computerphile is supported by Jane Street. Learn more about them (and exciting career opportunities) at: https://jane-st.co/computerphile

This video was filmed and edited by Sean Riley.

Computerphile is a sister project to Brady Haran's Numberphile. More at https://www.bradyharanblog.com",2025-07-29 14:55:08+00:00,"['computers', 'computerphile', 'computer', 'science']",27,PT22M1S,199262,7295,477,public,UC9-y-6csu5WGm29I7JiwpnA,Computerphile,"Videos about computers & computer stuff. Supported by Jane Street - https://jane-st.co/computerphile
Sister channel of Numberphile. ",https://yt3.ggpht.com/ebHMyRfch3u2UTZN1WQJDp9J5U7o38T_WnGkd2QhAIQwBgvozdaOCOnfDMtngtoHWutJvLl4i0c=s88-c-k-c0x00ffffff-no-rj,2570000,867
di5WodGWTiY,Memory Mapping - Computerphile,"Huge memory addresses mean that not every address is valid. Matt Godbolt explains how the addresses are actually used. 

Computerphile is supported by Jane Street. Learn more about them (and exciting career opportunities) at: https://jane-st.co/computerphile

This video was filmed and edited by Sean Riley.

Computerphile is a sister project to Brady Haran's Numberphile. More at https://www.bradyharanblog.com",2025-07-22 13:42:00+00:00,"['computers', 'computerphile', 'computer', 'science']",27,PT26M14S,63581,2182,154,public,UC9-y-6csu5WGm29I7JiwpnA,Computerphile,"Videos about computers & computer stuff. Supported by Jane Street - https://jane-st.co/computerphile
Sister channel of Numberphile. ",https://yt3.ggpht.com/ebHMyRfch3u2UTZN1WQJDp9J5U7o38T_WnGkd2QhAIQwBgvozdaOCOnfDMtngtoHWutJvLl4i0c=s88-c-k-c0x00ffffff-no-rj,2570000,867
844U9T_SOrA,Reinforcement Learning - Computerphile,"Reinforcement Learning is how robots test the water in the real world. -- Check out Brilliant's courses and start for free at https://brilliant.org/computerphile/ (episode sponsor) -- More links in full description below ↓↓↓

Nick Hawes is based at Oxford Robotics Institute.

Computerphile is supported by Jane Street. Learn more about them (and exciting career opportunities) at: https://jane-st.co/computerphile

This video was filmed and edited by Sean Riley.

Computerphile is a sister project to Brady Haran's Numberphile. More at https://www.bradyharanblog.com",2025-06-26 14:01:31+00:00,"['computers', 'computerphile', 'computer', 'science']",27,PT15M6S,51615,1547,51,public,UC9-y-6csu5WGm29I7JiwpnA,Computerphile,"Videos about computers & computer stuff. Supported by Jane Street - https://jane-st.co/computerphile
Sister channel of Numberphile. ",https://yt3.ggpht.com/ebHMyRfch3u2UTZN1WQJDp9J5U7o38T_WnGkd2QhAIQwBgvozdaOCOnfDMtngtoHWutJvLl4i0c=s88-c-k-c0x00ffffff-no-rj,2570000,867
5UAvECavmFA,Super Intelligence Speculation - Computerphile,"Looking to the future, just how intelligent might the current crop of Large Language Models get? Daniel Kokotajlo joins us to discuss Ai2027. 

Find out more about the AI2027 paper here: http://bit.ly/4k4dIOA 

Computerphile is supported by Jane Street. Learn more about them (and exciting career opportunities) at: https://jane-st.co/computerphile

This video was filmed and edited by Sean Riley.

Computerphile is a sister project to Brady Haran's Numberphile. More at https://www.bradyharanblog.com",2025-06-17 14:54:47+00:00,"['computers', 'computerphile', 'computer', 'science']",27,PT32M43S,150041,4105,1527,public,UC9-y-6csu5WGm29I7JiwpnA,Computerphile,"Videos about computers & computer stuff. Supported by Jane Street - https://jane-st.co/computerphile
Sister channel of Numberphile. ",https://yt3.ggpht.com/ebHMyRfch3u2UTZN1WQJDp9J5U7o38T_WnGkd2QhAIQwBgvozdaOCOnfDMtngtoHWutJvLl4i0c=s88-c-k-c0x00ffffff-no-rj,2570000,867
cP8xpkvs_UI,MikeBot3000: Can We Build an AI Mike from Open Source Tools? - Computerphile,"Open source tools for creating videos? Lewis decides to help Mike take a break by creating 'MikeBot3000' - an AI generated Mike Pound...

The 'terminator-style' thumbnail image was created using Chat-GPT

Segments of this video were created using various tools - where closed source tools were used we have stated as such. Lewis' link lower down shows you how he chained the various sections together. 

Get your hands on the code here: https://github.com/Lewis-Stuart-11/MikeBot 

Computerphile is supported by Jane Street. Learn more about them (and exciting career opportunities) at: https://jane-st.co/computerphile

This video was filmed and edited by Sean Riley.

Computerphile is a sister project to Brady Haran's Numberphile. More at https://www.bradyharanblog.com",2025-05-29 16:43:03+00:00,"['computers', 'computerphile', 'computer', 'science']",27,PT23M43S,108290,4710,322,public,UC9-y-6csu5WGm29I7JiwpnA,Computerphile,"Videos about computers & computer stuff. Supported by Jane Street - https://jane-st.co/computerphile
Sister channel of Numberphile. ",https://yt3.ggpht.com/ebHMyRfch3u2UTZN1WQJDp9J5U7o38T_WnGkd2QhAIQwBgvozdaOCOnfDMtngtoHWutJvLl4i0c=s88-c-k-c0x00ffffff-no-rj,2570000,867
pYP0ynR8h-k,AI Sandbagging - Computerphile,"Following the theme of AI research and safety, Aric Floyd talks about how some Large Language Models might follow the all too human trait of sandbagging - ""lying"" about their true capabilities. 

AI Sandbagging Paper: https://www.apolloresearch.ai/research/scheming-reasoning-evaluations 

Computerphile is supported by Jane Street. Learn more about them (and exciting career opportunities) at: https://jane-st.co/computerphile

This video was filmed and edited by Sean Riley.

Computerphile is a sister project to Brady Haran's Numberphile. More at https://www.bradyharanblog.com",2025-05-23 15:10:02+00:00,"['computers', 'computerphile', 'computer', 'science']",27,PT11M40S,101190,3997,571,public,UC9-y-6csu5WGm29I7JiwpnA,Computerphile,"Videos about computers & computer stuff. Supported by Jane Street - https://jane-st.co/computerphile
Sister channel of Numberphile. ",https://yt3.ggpht.com/ebHMyRfch3u2UTZN1WQJDp9J5U7o38T_WnGkd2QhAIQwBgvozdaOCOnfDMtngtoHWutJvLl4i0c=s88-c-k-c0x00ffffff-no-rj,2570000,867
jsraR-el8_o,Hash Collisions & The Birthday Paradox - Computerphile,"Mike Pound discusses hash collisions & the birthday paradox -- Learn more and apply to Jane Street’s WiSE program in New York, London or Hong Kong at https://jane-st.co/wise-computerphile (channel sponsor) -- More links in full description below ↓↓↓

Computerphile is supported by Jane Street. Learn more about them (and exciting career opportunities) at: https://jane-st.co/computerphile

This video was filmed and edited by Sean Riley.

Computerphile is a sister project to Brady Haran's Numberphile. More at https://www.bradyharanblog.com",2025-05-13 15:41:29+00:00,"['computers', 'computerphile', 'computer', 'science']",27,PT14M21S,209918,7512,406,public,UC9-y-6csu5WGm29I7JiwpnA,Computerphile,"Videos about computers & computer stuff. Supported by Jane Street - https://jane-st.co/computerphile
Sister channel of Numberphile. ",https://yt3.ggpht.com/ebHMyRfch3u2UTZN1WQJDp9J5U7o38T_WnGkd2QhAIQwBgvozdaOCOnfDMtngtoHWutJvLl4i0c=s88-c-k-c0x00ffffff-no-rj,2570000,867
