id,title,description,publishedAt,tags,categoryId,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption,licensedContent,uploadStatus,privacyStatus,embeddable,publicStatsViewable,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount,transcript
2V3s_d3MCE4,Live: FIP Silver Lisboa Racket Centre 2025 Semifinals,"Welcome to the livestream of the FIP Silver, hosted at my Padel club, Lisboa Racket Centre! 🎾✨

Join me for an exciting day of world-class padel, featuring top players competing in thrilling matches on our courts. 

Whether you’re watching live from Lisbon or tuning in from anywhere around the world, this is your chance to experience the action, energy, and passion of international padel.",2025-09-21T16:24:41Z,[],17,228751,19483,0,50,PT7H36M51S,hd,false,True,processed,public,True,True,UCtxD0x6AuNNqdXO9Wp5GHew,UR · Cristiano,Welcome to UR Cristiano - the official YouTube channel of Cristiano Ronaldo. SIUUUbscribe!,PT,https://yt3.ggpht.com/7HR7AS1zqCg3HDKKhU734Hoqaz277rXAkSkjJlui8cf_jrw31GZF2aPn3i9JS6Hhwgcxutp0jg=s88-c-k-c0x00ffffff-no-rj,76700000,111,
ARzb2K2FFwk,Live: FIP Silver Lisboa Racket Centre 2025 finals,"Welcome to the livestream of the FIP Silver, hosted at my Padel club, Lisboa Racket Centre! 🎾✨

Join me for an exciting day of world-class padel, featuring top players competing in thrilling matches on our courts. 

Whether you’re watching live from Lisbon or tuning in from anywhere around the world, this is your chance to experience the action, energy, and passion of international padel.",2025-09-21T16:03:25Z,[],17,93031,13591,0,0,P0D,sd,false,True,uploaded,public,True,True,UCtxD0x6AuNNqdXO9Wp5GHew,UR · Cristiano,Welcome to UR Cristiano - the official YouTube channel of Cristiano Ronaldo. SIUUUbscribe!,PT,https://yt3.ggpht.com/7HR7AS1zqCg3HDKKhU734Hoqaz277rXAkSkjJlui8cf_jrw31GZF2aPn3i9JS6Hhwgcxutp0jg=s88-c-k-c0x00ffffff-no-rj,76700000,111,
ZRnRD5LE_kg,Live: FIP Silver Lisboa Padel 2025 Finals,|,2025-09-20T10:32:32Z,[],17,213596,24771,0,486,PT1H32M28S,hd,false,True,processed,public,True,True,UCtxD0x6AuNNqdXO9Wp5GHew,UR · Cristiano,Welcome to UR Cristiano - the official YouTube channel of Cristiano Ronaldo. SIUUUbscribe!,PT,https://yt3.ggpht.com/7HR7AS1zqCg3HDKKhU734Hoqaz277rXAkSkjJlui8cf_jrw31GZF2aPn3i9JS6Hhwgcxutp0jg=s88-c-k-c0x00ffffff-no-rj,76700000,111,
JfMbboNYWX8,"I came here to do what I love, but I #StayedForMore","The people, the energy, and the world-class events that surprise me everyday. Check out the Saudi Unreal Calendar here
@visitsaudi 
 
https://www.visitsaudi.com/Calendar",2025-09-01T18:06:20Z,[],17,1180117,110637,0,9633,PT1M3S,hd,false,False,processed,public,True,True,UCtxD0x6AuNNqdXO9Wp5GHew,UR · Cristiano,Welcome to UR Cristiano - the official YouTube channel of Cristiano Ronaldo. SIUUUbscribe!,PT,https://yt3.ggpht.com/7HR7AS1zqCg3HDKKhU734Hoqaz277rXAkSkjJlui8cf_jrw31GZF2aPn3i9JS6Hhwgcxutp0jg=s88-c-k-c0x00ffffff-no-rj,76700000,111,
c-wLj9OiMpw,One year of UR Cristiano 🎉,"Thank you all for being part of this journey! Let's celebrate together with a special concert of my friend Luan, soon!",2025-08-21T17:00:57Z,[],17,1221552,76374,0,5428,PT21S,hd,false,True,processed,public,True,True,UCtxD0x6AuNNqdXO9Wp5GHew,UR · Cristiano,Welcome to UR Cristiano - the official YouTube channel of Cristiano Ronaldo. SIUUUbscribe!,PT,https://yt3.ggpht.com/7HR7AS1zqCg3HDKKhU734Hoqaz277rXAkSkjJlui8cf_jrw31GZF2aPn3i9JS6Hhwgcxutp0jg=s88-c-k-c0x00ffffff-no-rj,76700000,111,
CZ1-c1SmiQw,Join me in the AMAZING CR7 Life Museum!,,2025-07-09T17:52:12Z,[],17,1926825,110290,0,7909,PT32S,hd,false,True,processed,public,True,True,UCtxD0x6AuNNqdXO9Wp5GHew,UR · Cristiano,Welcome to UR Cristiano - the official YouTube channel of Cristiano Ronaldo. SIUUUbscribe!,PT,https://yt3.ggpht.com/7HR7AS1zqCg3HDKKhU734Hoqaz277rXAkSkjJlui8cf_jrw31GZF2aPn3i9JS6Hhwgcxutp0jg=s88-c-k-c0x00ffffff-no-rj,76700000,111,
yxQPyHMkl2E,Now it's your time to Rise Above!,"In every era, a rare few rise above the rest. Now it’s your time.
Esports World Cup starts July 7 — with over 2,000 athletes ready to make history.

@EsportsWorldCup #EsportsWorldCup #EWC25",2025-07-01T17:46:53Z,[],17,1811100,110667,0,5745,PT30S,hd,false,True,processed,public,True,True,UCtxD0x6AuNNqdXO9Wp5GHew,UR · Cristiano,Welcome to UR Cristiano - the official YouTube channel of Cristiano Ronaldo. SIUUUbscribe!,PT,https://yt3.ggpht.com/7HR7AS1zqCg3HDKKhU734Hoqaz277rXAkSkjJlui8cf_jrw31GZF2aPn3i9JS6Hhwgcxutp0jg=s88-c-k-c0x00ffffff-no-rj,76700000,111,
x_IRSJ9EOxA,"“I believe in Al Nassr, I believe in this project.”",“This season will be our best season ever”. Cristiano explains to Al Nassr TV why he has decided to keep playing for the Club.,2025-06-28T19:04:50Z,[],17,2385410,154323,0,20299,PT10M38S,hd,false,True,processed,public,True,True,UCtxD0x6AuNNqdXO9Wp5GHew,UR · Cristiano,Welcome to UR Cristiano - the official YouTube channel of Cristiano Ronaldo. SIUUUbscribe!,PT,https://yt3.ggpht.com/7HR7AS1zqCg3HDKKhU734Hoqaz277rXAkSkjJlui8cf_jrw31GZF2aPn3i9JS6Hhwgcxutp0jg=s88-c-k-c0x00ffffff-no-rj,76700000,111,
Drj1-WLCm1o,The Story Continues…,,2025-06-26T13:18:11Z,[],17,1897601,166689,0,17125,PT40S,hd,false,True,processed,public,True,True,UCtxD0x6AuNNqdXO9Wp5GHew,UR · Cristiano,Welcome to UR Cristiano - the official YouTube channel of Cristiano Ronaldo. SIUUUbscribe!,PT,https://yt3.ggpht.com/7HR7AS1zqCg3HDKKhU734Hoqaz277rXAkSkjJlui8cf_jrw31GZF2aPn3i9JS6Hhwgcxutp0jg=s88-c-k-c0x00ffffff-no-rj,76700000,111,
183L0H7bRZU,UN TRIUNFO DE PORTUGAL PARA TODOS LOS PORTUGUESES,"En el Día de Portugal, recordamos una victoria que nos hizo vibrar a todos: el último gran triunfo de la selección en la UEFA Nations League. Porque cuando gana Portugal, ganamos todos.",2025-06-10T17:16:56Z,[],17,2054967,222339,0,16721,PT53S,hd,false,True,processed,public,True,True,UCtxD0x6AuNNqdXO9Wp5GHew,UR · Cristiano,Welcome to UR Cristiano - the official YouTube channel of Cristiano Ronaldo. SIUUUbscribe!,PT,https://yt3.ggpht.com/7HR7AS1zqCg3HDKKhU734Hoqaz277rXAkSkjJlui8cf_jrw31GZF2aPn3i9JS6Hhwgcxutp0jg=s88-c-k-c0x00ffffff-no-rj,76700000,111,
