id,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,captions,channel_id,channel_title,channel_description,channel_country,channel_thumbnail,channel_subscriberCount,channel_videoCount
a_VcqPIMWf4,Trapping 5 Youtubers in an Albertsons Store,,2025-04-22T10:58:56Z,,24,en,en-US,https://i.ytimg.com/vi/a_VcqPIMWf4/default.jpg,https://i.ytimg.com/vi/a_VcqPIMWf4/hqdefault.jpg,PT45S,516719,12681,498,public,,UCAiLfjNXkNv24uhpzUgPa6A,Beast Philanthropy,"100% of the profits from my ad revenue, merch sales, and sponsorships will go towards making the world a better place!",US,https://yt3.ggpht.com/GskFAiD8zDR_8ac8qF4DjPwAl4RBwFZEU4EOrX_iK9_YpocbmrAKXF7AlKGmgoJ_3u62YDVkbDc=s800-c-k-c0x00ffffff-no-rj,28500000,68
kwW3d1jgTlM,Beast Games: Charity Edition,"Welcome to the Beast Philanthropy Charity Games where 5 YouTubers compete in high-stakes fun-filled challenges inside of an Albertsons grocery store. In this adrenaline-fuelled video their intellect, dexterity, and wit will be put to the test in a series of thrilling challenges. The winner could walk away with $200,000 USD in cash prizes to be donated to the charity of their choice. ​​ 
We would like to send a special thank you to all of the Participants and Sponsors that helped make this video possible:

Content Creators:

Kinigra Deon: https://www.youtube.com/@KinigraDeon 
Rebecca Zamola: https://www.youtube.com/@rebeccazamolo 
Sarah Grace: https://www.youtube.com/@TheSarahGrace 
David Rule: https://www.youtube.com/@davidmrule 
Patrick Zeinali: https://www.youtube.com/@patrickzeinali 

Brands & Sponsors:

ALBERTSONS COMPANIES 
Instagram: https://www.instagram.com/albertsonscompanies 
 
CLIF BAR (MONDELEZ)
Instagram: https://www.instagram.com/clifbar/ 

TRISCUIT (MONDELEZ)
Instagram: https://www.instagram.com/triscuit/  

HELLMANN’S 
Instagram: https://www.instagram.com/hellmannsmayonnaise/

ZOA ENERGY 
Instagram: https://www.instagram.com/zoaenergy/ 

SPARKLING ICE
Instagram: https://www.instagram.com/sparklingice/

UTZ
Instagram: https://www.instagram.com/utzsnacks/

FEASTABLES
Instagram: https://www.instagram.com/feastables/

Thanks to Advantage Solutions, New Visual Media and Creative Misfits for your contribution to this project.

New Visual Media: https://www.youtube.com/@newvisualmedia327 
Creative Misfits: https://www.instagram.com/creativemisfits.studio 
Advantage Solutions: https://www.instagram.com/advantage_solutions/ 

Once again, THANK YOU to everyone watching our videos because by doing so you allow us to help even more people and charities around the world! 

Filmed and Edited by: Dan Mace  (https://www.youtube.com/@DanMace)

Follow us to help us help more:
Instagram: https://www.instagram.com/beastphilanthropy/ 
Website: https://www.beastphilanthropy.org/donate/ 
Tiktok: https://www.tiktok.com/@beastphilanthropy
Twitter: https://twitter.com/BeastPhilanthr 
Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173
 
Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation.",2025-04-20T11:01:09Z,#AlbertsonsCompanies|#NourishingNeighbors|#ClifatAlbertsons|#NabsicoatAlbertsons|#ZOAEnergy|#SparklingIce|#AnythingButSubtle|#sponsored,24,en,en-US,https://i.ytimg.com/vi/kwW3d1jgTlM/default.jpg,https://i.ytimg.com/vi/kwW3d1jgTlM/hqdefault.jpg,PT18M39S,12357680,187706,5081,public,,UCAiLfjNXkNv24uhpzUgPa6A,Beast Philanthropy,"100% of the profits from my ad revenue, merch sales, and sponsorships will go towards making the world a better place!",US,https://yt3.ggpht.com/GskFAiD8zDR_8ac8qF4DjPwAl4RBwFZEU4EOrX_iK9_YpocbmrAKXF7AlKGmgoJ_3u62YDVkbDc=s800-c-k-c0x00ffffff-no-rj,28500000,68
O6wTcrhkw4o,Rescuing Child Slaves in Africa,"Ghana Make A Difference is a remarkable organization that provides shelter, education and medical care to children who have been enslaved, endangered or abandoned. GMAD is a beacon of light and inspiration to us all as they remain dedicated to helping vulnerable children in their mission of providing every abandoned child with a safe space and supportive community. 

If you want to help make a difference by supporting GMAD with their initiatives please visit their donation page: https://www.ghanamakeadifference.org/donate.html

Thank you to OxBlue (https://www.oxblue.com/) for their generous donation by supplying us with the time-lapse cameras for this project. 

A huge thank you to our audience, for watching our videos because by doing so you allow us to continue helping organizations and initiatives like this who are doing such amazing philanthropic work all over the world!

Filmed and Edited by: Dan Mace  (https://www.youtube.com/@DanMace)

Follow us to help us help more:
Instagram: https://www.instagram.com/beastphilanthropy/ 
Website: https://www.beastphilanthropy.org/donate/ 
Tiktok: https://www.tiktok.com/@beastphilanthropy
Twitter: https://twitter.com/BeastPhilanthr 
Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173
 
Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation.",2025-04-06T11:00:26Z,,24,en,en-US,https://i.ytimg.com/vi/O6wTcrhkw4o/default.jpg,https://i.ytimg.com/vi/O6wTcrhkw4o/hqdefault.jpg,PT5M26S,11774756,257593,6612,public,,UCAiLfjNXkNv24uhpzUgPa6A,Beast Philanthropy,"100% of the profits from my ad revenue, merch sales, and sponsorships will go towards making the world a better place!",US,https://yt3.ggpht.com/GskFAiD8zDR_8ac8qF4DjPwAl4RBwFZEU4EOrX_iK9_YpocbmrAKXF7AlKGmgoJ_3u62YDVkbDc=s800-c-k-c0x00ffffff-no-rj,28500000,68
mqPDIfOjN6g,Kissing A Lion!,,2025-03-16T12:39:59Z,,24,en,en-US,https://i.ytimg.com/vi/mqPDIfOjN6g/default.jpg,https://i.ytimg.com/vi/mqPDIfOjN6g/hqdefault.jpg,PT1M,501861,18930,403,public,,UCAiLfjNXkNv24uhpzUgPa6A,Beast Philanthropy,"100% of the profits from my ad revenue, merch sales, and sponsorships will go towards making the world a better place!",US,https://yt3.ggpht.com/GskFAiD8zDR_8ac8qF4DjPwAl4RBwFZEU4EOrX_iK9_YpocbmrAKXF7AlKGmgoJ_3u62YDVkbDc=s800-c-k-c0x00ffffff-no-rj,28500000,68
wOGD9zfqEkk,Giving 10 Kids Supercars,"The Dream Ride Experience initiative run by the Hometown Foundation is a weekend-long event that brings families from around the world together, creating a safe space for members of the intellectual and developmental disabilities community.

This weekend event and year-round movement highlights their determination and willingness to persevere, overcome challenges, and shatter stereotypes. The Dream Ride Experience advocates for inclusion and building friendships amongst not only the Dream Riders, but also with the participants and attendees.

We’d like to extend a huge congratulations to the Dream Ride team who raised over 7 million dollars during their last event weekend and purchased 250 acres of land that will be used to build a legacy property. This property will be a safe space for those with intellectual and developmental disabilities, animal welfare and many other individuals in need.

If you would like to support a future Dream Rider or donate money towards this incredible event please visit: https://dreamride.org/donate

And if you’d like to REV up your support even further and look good while doing so, head over to https://shopbeastphilanthropy.com/ to grab our limited-edition Dream Ride T-shirt, as seen in the film! 
The ""This Car Starts With A Dream"" tee celebrates inclusion, empowerment, and the incredible work of the Dream Ride initiative—and as always, 100% of the proceeds go toward furthering our mission!
We also want to thank you, our audience, for watching these videos because by doing so you allow us to continue supporting organizations and initiatives like these which helps make the world a better place!

Filmed and Edited by: Dan Mace  (https://www.youtube.com/@DanMace)

Follow us to help us help more:
Instagram: https://www.instagram.com/beastphilanthropy/ 
Website: https://www.beastphilanthropy.org/donate/ 
Tiktok: https://www.tiktok.com/@beastphilanthropy
Twitter: https://twitter.com/BeastPhilanthr 
Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173
 
Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation.",2025-03-09T12:01:20Z,,24,en,en-US,https://i.ytimg.com/vi/wOGD9zfqEkk/default.jpg,https://i.ytimg.com/vi/wOGD9zfqEkk/hqdefault.jpg,PT5M3S,11190115,156039,3226,public,,UCAiLfjNXkNv24uhpzUgPa6A,Beast Philanthropy,"100% of the profits from my ad revenue, merch sales, and sponsorships will go towards making the world a better place!",US,https://yt3.ggpht.com/GskFAiD8zDR_8ac8qF4DjPwAl4RBwFZEU4EOrX_iK9_YpocbmrAKXF7AlKGmgoJ_3u62YDVkbDc=s800-c-k-c0x00ffffff-no-rj,28500000,68
CvPtDd3B3PE,We Saved 100 Children's Hearts in Africa,"Light AI [http://light.ai/] is on a mission to deliver relevant solutions for the global healthcare community by leveraging assistive artificial intelligence.  Check out their incredible initiative at light.ai to learn more about their efforts. Light AI is a public company that currently trades on the Canadian CBOE/NEO exchange under $ALGO.NE and trades in the US under $OHCFF.  Together we are taking a step toward reducing the impact of heart disease!   

With your support, we will partner with Light AI to provide healthcare professionals in underserved areas with the tools they need to quickly diagnose Strep A and combat heart disease.  Please visit https://www.beastphilanthropy.org/campaign/we-saved-100-childrens-lives-in-africa to learn more.  

This incredible program is possible thanks to so many incredible partners.  As we’ve said before, Beast Philanthropy is ALL OF US.  

Thanks to the following amazing people:

Thank you to the team at Hospitals for Humanity, especially Dr. Segun, and all of the families who so bravely allow us to tell their story.  Your courage and your bravery are praiseworthy!  To learn more about Hospitals for Humanity and donate directly to support their work, please visit: https://hospitalsforhumanity.org/donate/

We also want to thank Outside The Box Capital for facilitating this partnership between us and Light AI. To learn more go to [http://outsidethebox.capital]  

And thanks to you, our viewers.  None of this is possible without you!

Filmed and Edited by: Dan Mace  (https://www.youtube.com/@DanMace)

Follow us to help us help more:
Instagram: https://www.instagram.com/beastphilanthropy/ 
Website: https://www.beastphilanthropy.org/donate/ 
Tiktok: https://www.tiktok.com/@beastphilanthropy
Twitter: https://twitter.com/BeastPhilanthr 
Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 

Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation. 
#sponsored",2025-02-16T12:00:23Z,,24,en,en-US,https://i.ytimg.com/vi/CvPtDd3B3PE/default.jpg,https://i.ytimg.com/vi/CvPtDd3B3PE/hqdefault.jpg,PT9M49S,3562586,145310,3878,public,,UCAiLfjNXkNv24uhpzUgPa6A,Beast Philanthropy,"100% of the profits from my ad revenue, merch sales, and sponsorships will go towards making the world a better place!",US,https://yt3.ggpht.com/GskFAiD8zDR_8ac8qF4DjPwAl4RBwFZEU4EOrX_iK9_YpocbmrAKXF7AlKGmgoJ_3u62YDVkbDc=s800-c-k-c0x00ffffff-no-rj,28500000,68
6DJBExeh94w,I Fought One of America’s Biggest Problems,"Want to show The Phoenix team your support? 

Donate NOW at https://riserecoverthrive.funraise.org/ - alongside our partner Stand Together, we’ll be matching each donation 2:1.  

Not able to donate?  Comment ‘Together We Rise’ below and we’ll donate $1 on your behalf!  

The Phoenix is fueling a movement that builds on the power of community and belonging to change how society approaches addiction and recovery. Through hundreds of weekly sober events and activities, they’re creating spaces for anyone impacted by substance use to connect, build friendships, find support, and have fun.  

Just like we do, Stand Together believes  that by BELIEVING IN PEOPLE, empowering them with support, and encouraging them to BELIEVE IN THEMSELVES that we can solve so many of the issues that challenge us as individuals, communities, and societies. We want to thank them for their extremely generous contribution to this program.

Stand Together is a philanthropic community. They help America’s boldest changemakers tackle the root causes of our country’s biggest problems. For more stories, ideas, and advice on how to help them make a bigger impact, visit https://standtogether.org/

Filmed and Edited by: Dan Mace  (https://www.youtube.com/@DanMace)

Follow us to help us help more:
Instagram: https://www.instagram.com/beastphilanthropy/ 
Website: https://www.beastphilanthropy.org/donate/ 
Tiktok: https://www.tiktok.com/@beastphilanthropy
Twitter: https://twitter.com/BeastPhilanthr 
Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 

Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation. #sponsored",2025-01-26T12:00:06Z,,24,en,en-US,https://i.ytimg.com/vi/6DJBExeh94w/default.jpg,https://i.ytimg.com/vi/6DJBExeh94w/hqdefault.jpg,PT8M28S,6370282,214739,54918,public,,UCAiLfjNXkNv24uhpzUgPa6A,Beast Philanthropy,"100% of the profits from my ad revenue, merch sales, and sponsorships will go towards making the world a better place!",US,https://yt3.ggpht.com/GskFAiD8zDR_8ac8qF4DjPwAl4RBwFZEU4EOrX_iK9_YpocbmrAKXF7AlKGmgoJ_3u62YDVkbDc=s800-c-k-c0x00ffffff-no-rj,28500000,68
_NsobjWpIZg,Following In The Footprints Of Hope,,2025-01-10T16:28:50Z,,24,en,en-US,https://i.ytimg.com/vi/_NsobjWpIZg/default.jpg,https://i.ytimg.com/vi/_NsobjWpIZg/hqdefault.jpg,PT2M41S,630379,16291,657,public,,UCAiLfjNXkNv24uhpzUgPa6A,Beast Philanthropy,"100% of the profits from my ad revenue, merch sales, and sponsorships will go towards making the world a better place!",US,https://yt3.ggpht.com/GskFAiD8zDR_8ac8qF4DjPwAl4RBwFZEU4EOrX_iK9_YpocbmrAKXF7AlKGmgoJ_3u62YDVkbDc=s800-c-k-c0x00ffffff-no-rj,28500000,68
2n5h3VFdxSE,Saving The World From Your Sofa,"Dora Moono Nyambe chose the difficult path so that she could protect and love the most vulnerable children. Dora passed away on Christmas morning.

My favorite quote is ""What you share with the world is what it keeps of you.""

Dora your legacy will live in the hearts of so many who learned how it felt to be loved and valued because of you, who learned the meaning of courage, conviction, compassion, and dedication because they had such a powerful example in you.

You were taken too soon but your legacy will persist in so many lives that were so deeply affected by you.💔

Dora has an incredible team that can continue to provide a loving and stable environment for these children, but most of the revenue to run the village was earned on Dora's TikTok stream. They are going to need our help. Please give whatever you can to help us preserve Dora’s legacy. You can click the Donation button or visit https://www.beastphilanthropy.org/campaign/we-rebuilt-a-village 
100% will be forwarded to Footprints of Hope

This has been such an exceptional year. Together we have been able to make a profound difference in the lives of so many around the world. We have learned together about some of the most difficult challenges humanity faces, viable solutions to those problems, and the exceptional people fighting to build a brighter future. We couldn’t do any of this without YOU, and we are so incredibly grateful for your love and support.




Follow us to help us help more:
Instagram: https://www.instagram.com/beastphilanthropy/ 
Website: https://www.beastphilanthropy.org/donate/ 
Tiktok: https://www.tiktok.com/@beastphilanthropy
Twitter: https://twitter.com/BeastPhilanthr 
Facebook: ​​https://www.facebook.com/Beast-Philanthropy-112268218256173 

Beast Philanthropy Video Disclaimer: This video was produced by Beast Philanthropy Productions, LLC, a North Carolina limited liability company. Any revenue generated for Beast Philanthropy Productions, LLC from this video will be donated to MrCharity, Inc. dba Beast Philanthropy, a North Carolina 501(c)(3) nonprofit corporation.",2024-12-29T12:00:03Z,,24,en,en-US,https://i.ytimg.com/vi/2n5h3VFdxSE/default.jpg,https://i.ytimg.com/vi/2n5h3VFdxSE/hqdefault.jpg,PT14M14S,7537705,218321,4678,public,,UCAiLfjNXkNv24uhpzUgPa6A,Beast Philanthropy,"100% of the profits from my ad revenue, merch sales, and sponsorships will go towards making the world a better place!",US,https://yt3.ggpht.com/GskFAiD8zDR_8ac8qF4DjPwAl4RBwFZEU4EOrX_iK9_YpocbmrAKXF7AlKGmgoJ_3u62YDVkbDc=s800-c-k-c0x00ffffff-no-rj,28500000,68
MVo5vpxS0R4,Beast Philanthropy is All Of Us!,,2024-12-23T16:38:15Z,,24,en,en-US,https://i.ytimg.com/vi/MVo5vpxS0R4/default.jpg,https://i.ytimg.com/vi/MVo5vpxS0R4/hqdefault.jpg,PT56S,359116,16986,417,public,,UCAiLfjNXkNv24uhpzUgPa6A,Beast Philanthropy,"100% of the profits from my ad revenue, merch sales, and sponsorships will go towards making the world a better place!",US,https://yt3.ggpht.com/GskFAiD8zDR_8ac8qF4DjPwAl4RBwFZEU4EOrX_iK9_YpocbmrAKXF7AlKGmgoJ_3u62YDVkbDc=s800-c-k-c0x00ffffff-no-rj,28500000,68
