videoId,title,description,publishedAt,tags,categoryId,defaultLanguage,defaultAudioLanguage,thumbnail_default,thumbnail_high,duration,viewCount,likeCount,commentCount,privacyStatus,channelId,channelTitle,channelDescription,channelCountry,channelThumbnail,subscriberCount,videoCount
SbZfCQWdIDk,Here are 3 planets where humans might survive (spoiler: don’t start packing yet!). #TEDTalks,,2025-09-28T19:00:33Z,"TEDTalk,TEDTalks,TED Talk,TED Talks,TED",22,,en,https://i.ytimg.com/vi/SbZfCQWdIDk/default.jpg,https://i.ytimg.com/vi/SbZfCQWdIDk/hqdefault.jpg,PT1M26S,14488,486,5,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s88-c-k-c0x00ffffff-no-rj,26700000,5283
WDmGAnRIaiA,The Incredible Secrets Hidden in Your Immune System | Beck Brachman | TED,"Your immune system keeps a record of everything it’s ever fought, from the common cold to chronic disease. Neuroscientist and TED Fellow Beck Brachman explains how, by decoding this archive, scientists may be able to identify the root causes — and thus deduce the cures — of devastating illnesses like multiple sclerosis and schizophrenia, potentially one day taking the “chronic” out of “chronic disease.” (Recorded at TED2025 on April 9, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/beckbrachman

https://youtu.be/WDmGAnRIaiA

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Science",2025-09-28T15:00:58Z,"TEDTalk,TEDTalks,TED Talk,TED Talks,TED,science,innovation,disease,health,cancer,psychology,medicine",28,en,en,https://i.ytimg.com/vi/WDmGAnRIaiA/default.jpg,https://i.ytimg.com/vi/WDmGAnRIaiA/hqdefault.jpg,PT4M39S,12929,505,12,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s88-c-k-c0x00ffffff-no-rj,26700000,5283
4fJMAaSJLxQ,"If you want to get people to do what you want, make it seem like it was their idea #TEDTalks","As a film and television director, Barry Sonnenfeld had millions of dollars riding on his ability to get his cast and crew to play along — and much of what he learned along the way applies to everyday life. Here, he shares nine bits of wisdom and whimsy gleaned from 40 years in entertainment. So the next time you encounter a screaming bully, you too will know what to do.",2025-09-27T16:00:11Z,"TEDTalk,TEDTalks,TED Talk,TED Talks,TED",22,en,en,https://i.ytimg.com/vi/4fJMAaSJLxQ/default.jpg,https://i.ytimg.com/vi/4fJMAaSJLxQ/hqdefault.jpg,PT2M27S,31676,821,3,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s88-c-k-c0x00ffffff-no-rj,26700000,5283
t9RRh_YkALE,TED Talks Watch Party: Perspectives in Modern Parenting | TED,"Parenting today means balancing connection, independence and community in an ever-evolving world. Join us for a TED Talks Watch Party featuring 4 insightful talks on having difficult conversations, setting empathetic boundaries and strengthening familial bonds while giving kids the freedom they need to grow. Hang out, chat and watch some talks — hosted by TED's digital curator Ikey Ajavon.

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

https://www.youtube.com/live/t9RRh_YkALE?si=4x2787H-isc5N53X

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks",2025-09-26T18:43:44Z,"TEDTalk,TEDTalks,TED Talk,TED Talks,TED",22,en,en,https://i.ytimg.com/vi/t9RRh_YkALE/default.jpg,https://i.ytimg.com/vi/t9RRh_YkALE/hqdefault.jpg,PT1H3M29S,13582,200,5,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s88-c-k-c0x00ffffff-no-rj,26700000,5283
XyiPDoCjO4s,The Fine Art of Fibbing | Athena Kugblenu | TED,"Comedian and writer Athena Kugblenu has a hot take: we’re all liars, and that’s OK. Exploring the line between the little lies that do no harm and the big, self-serving whoppers you’d best avoid, she offers a crucial question to ask yourself to help determine if honesty is the best policy — or if a fib might best fit the situation. (Recorded at TEDNext 2024 on October 22, 2024)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/athenakugblenu

https://youtu.be/XyiPDoCjO4s

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Communication",2025-09-26T15:01:06Z,"TEDTalk,TEDTalks,TED Talk,TED Talks,TED,communication,relationships,corruption,society,trust",22,en,en,https://i.ytimg.com/vi/XyiPDoCjO4s/default.jpg,https://i.ytimg.com/vi/XyiPDoCjO4s/hqdefault.jpg,PT8M39S,14329,421,17,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s88-c-k-c0x00ffffff-no-rj,26700000,5283
vd2AklBK-GA,Can AI Make Us More Human? A Social Psychologist + a Business Leader Answer | TED Intersections,"As AI continues to integrate into our workplaces, how do we ensure we don’t lose what makes us human? Social psychologist Heidi Grant speaks with NiCE's CX Division president Barry Cooper about why the current era of AI is misunderstood and how working with this new technology — instead of against it — can help you grow both inside and outside of your career. (This content is made possible by NiCE. It however does not necessarily reflect the views of NiCE.)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/tedintersections

https://youtu.be/vd2AklBK-GA

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #TEDIntersections",2025-09-26T11:45:29Z,"TEDTalk,TEDTalks,TED Talk,TED Talks,TED,intersections,ai,technology",22,en,en,https://i.ytimg.com/vi/vd2AklBK-GA/default.jpg,https://i.ytimg.com/vi/vd2AklBK-GA/hqdefault.jpg,,0,34,5,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s88-c-k-c0x00ffffff-no-rj,26700000,5283
htNMTxj_qE8,Inside a Dark Web Kill List | Carl Miller | TED,"Who pays for an assassin on the internet? Dark web researcher Carl Miller spent years tracking down the answer to this question. In this chilling talk, he shares how he uncovered real kill orders placed online by seemingly ordinary individuals — and gives an unsettling look at what drives people to the brink. (Note: This talk contains descriptions of violence.) (Recorded at TEDxManchester on March 1, 2025)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/carlmiller

https://youtu.be/htNMTxj_qE8

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Internet",2025-09-25T15:01:22Z,"TEDTalk,TEDTalks,TED Talk,TED Talks,TED,dark web,internet,culture,humanity,society,assassin,podcast",22,en,en,https://i.ytimg.com/vi/htNMTxj_qE8/default.jpg,https://i.ytimg.com/vi/htNMTxj_qE8/hqdefault.jpg,PT14M40S,145872,3650,111,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s88-c-k-c0x00ffffff-no-rj,26700000,5283
aEsikH322n4,The Autism Spectrum Isn’t What You Think It Is | Chloé Hayden | TED,"Actress Chloé Hayden is best known for her role as Quinnie on the popular TV show ""Heartbreak High"" — one of the first-ever autistic characters to actually be played by an autistic person. Now, she's inviting us to imagine a world where seeing autistic people in any role isn't groundbreaking, it's simply expected. (Recorded at TEDxSydney Youth on August 28, 2024)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/chloehayden

https://youtu.be/aEsikH322n4

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #Autism",2025-09-24T15:00:01Z,"TEDTalk,TEDTalks,TED Talk,TED Talks,TED,media,autism,autism spectrum disorder,tv,diversity,inclusion",22,en,en,https://i.ytimg.com/vi/aEsikH322n4/default.jpg,https://i.ytimg.com/vi/aEsikH322n4/hqdefault.jpg,PT12M11S,28512,1749,56,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s88-c-k-c0x00ffffff-no-rj,26700000,5283
RfSiAKIRI7U,Good leadership is about knowing when to step up AND when to step aside. #TEDTalks,"How do you hold on to hope while still being realistic about the work that needs to be done? Immunology researcher David Fajgenbaum and public health expert Celina de Sola discuss how they scaled personal missions into organizations making long-term impact on communities near and far. They explore how to stay motivated, discover your leadership style and uncover overlooked solutions hiding in plain sight.",2025-09-23T20:00:30Z,"TEDTalk,TEDTalks,TED Talk,TED Talks,TED",22,en,en,https://i.ytimg.com/vi/RfSiAKIRI7U/default.jpg,https://i.ytimg.com/vi/RfSiAKIRI7U/hqdefault.jpg,PT1M58S,26172,622,6,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s88-c-k-c0x00ffffff-no-rj,26700000,5283
FG0dYhiTGLI,How Do You Turn Setbacks Into Motivation? A Doctor + A Trauma Specialist Answer | TED Intersections,"How do you hold on to hope while still being realistic about the work that needs to be done? Immunology researcher David Fajgenbaum and public health expert Celina de Sola discuss how they scaled personal missions into organizations making long-term impact on communities near and far. They explore how to stay motivated, discover your leadership style and uncover overlooked solutions hiding in plain sight. (This conversation is part of ""TED Intersections,"" a series featuring thought-provoking conversations between experts navigating the ideas shaping our world.)

Join us in person at a TED conference: https://tedtalks.social/events
Become a TED Member to support our mission: https://ted.com/membership
Subscribe to a TED newsletter: https://ted.com/newsletters

Follow TED! 
X: https://www.twitter.com/TEDTalks
Instagram: https://www.instagram.com/ted
Facebook: https://facebook.com/TED
LinkedIn: https://www.linkedin.com/company/ted-conferences
TikTok: https://www.tiktok.com/@tedtoks

The TED Talks channel features talks, performances and original series from the world's leading thinkers and doers. Subscribe to our channel for videos on Technology, Entertainment and Design — plus science, business, global issues, the arts and more. Visit https://TED.com to get our entire library of TED Talks, transcripts, translations, personalized talk recommendations and more.

Watch more: https://go.ted.com/tedintersections

https://youtu.be/FG0dYhiTGLI

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com

#TED #TEDTalks #TEDIntersections",2025-09-23T15:00:06Z,"TEDTalk,TEDTalks,TED Talk,TED Talks,TED,health,public health,society,culture",22,en,en,https://i.ytimg.com/vi/FG0dYhiTGLI/default.jpg,https://i.ytimg.com/vi/FG0dYhiTGLI/hqdefault.jpg,PT29M33S,23384,353,12,public,UCAuUUnT6oDeKwE6v1NGQxug,TED,"The TED Talks channel features the best talks and performances from the TED Conference, where the world's leading thinkers and doers give the talk of their lives in 18 minutes (or less). Look for talks on Technology, Entertainment and Design -- plus science, business, global issues, the arts and more. You're welcome to link to or embed these videos, forward them to others and share these ideas with people you know.

TED's videos may be used for non-commercial purposes under a Creative Commons License, Attribution–Non Commercial–No Derivatives (or the CC BY – NC – ND 4.0 International) and in accordance with our TED Talks Usage Policy: https://www.ted.com/about/our-organization/our-policies-terms/ted-talks-usage-policy. For more information on using TED for commercial purposes (e.g. employee learning, in a film or online course), please submit a Media Request at https://media-requests.ted.com",US,https://yt3.ggpht.com/ytc/AIdro_koIFcCOrvh0KThLNOiazAIDu6hcs8bjkGNwe1f6A_OYm8=s88-c-k-c0x00ffffff-no-rj,26700000,5283
